noc,gold,silver,bronze,total
GER,11,12,6,29
USA,9,9,7,25
AUT,9,7,7,23
RUS,8,6,8,22
CAN,7,10,7,24
SWE,7,2,5,14
KOR,6,3,2,11
SUI,5,4,5,14
ITA,5,0,6,11
FRA,3,2,4,9
NED,3,2,4,9
EST,3,0,0,3
NOR,2,8,9,19
CHN,2,4,5,11
CZE,1,2,1,4
CRO,1,2,0,3
AUS,1,0,1,2
JPN,1,0,0,1
FIN,0,6,3,9
POL,0,1,1,2
BLR,0,1,0,1
GBR,0,1,0,1
BUL,0,1,0,1
SVK,0,1,0,1
UKR,0,0,2,2
LAT,0,0,1,1
USA,37,24,32,93
RUS,32,28,29,89
CHN,28,16,14,58
AUS,16,25,17,58
GER,13,17,26,56
FRA,13,14,11,38
ITA,13,8,13,34
NED,12,9,4,25
CUB,11,11,7,29
GBR,11,10,7,28
ROU,11,6,9,26
KOR,8,10,10,28
HUN,8,6,3,17
POL,6,5,3,14
JPN,5,8,5,18
BUL,5,6,2,13
GRE,4,6,3,13
SWE,4,5,3,12
NOR,4,3,3,10
ETH,4,1,3,8
UKR,3,10,10,23
KAZ,3,4,0,7
BLR,3,3,11,17
CAN,3,3,8,14
ESP,3,3,5,11
TUR,3,0,2,5
IRI,3,0,1,4
CZE,2,3,3,8
KEN,2,3,2,7
DEN,2,3,1,6
FIN,2,1,1,4
AUT,2,1,0,3
LTU,2,0,3,5
BAH,2,0,1,3
AZE,2,0,1,3
SLO,2,0,0,2
SUI,1,6,2,9
INA,1,3,2,6
SVK,1,3,1,5
MEX,1,2,3,6
NGR,1,2,0,3
ALG,1,1,3,5
UZB,1,1,2,4
YUG,1,1,1,3
LAT,1,1,1,3
NZL,1,0,3,4
THA,1,0,2,3
EST,1,0,2,3
CRO,1,0,1,2
CMR,1,0,0,1
COL,1,0,0,1
MOZ,1,0,0,1
BRA,0,6,6,12
JAM,0,6,3,9
BEL,0,2,3,5
RSA,0,2,3,5
ARG,0,2,2,4
MAR,0,1,4,5
TPE,0,1,4,5
PRK,0,1,3,4
TTO,0,1,1,2
KSA,0,1,1,2
MDA,0,1,1,2
URU,0,1,0,1
VIE,0,1,0,1
IRL,0,1,0,1
SRI,0,1,0,1
GEO,0,0,6,6
CRC,0,0,2,2
POR,0,0,2,2
BAR,0,0,1,1
QAT,0,0,1,1
KGZ,0,0,1,1
IND,0,0,1,1
ARM,0,0,1,1
KUW,0,0,1,1
MKD,0,0,1,1
CHI,0,0,1,1
ISL,0,0,1,1
USA,46,37,38,121
GBR,27,23,17,67
CHN,26,18,26,70
RUS,19,17,20,56
GER,17,10,15,42
JPN,12,8,21,41
FRA,10,18,14,42
KOR,9,3,9,21
ITA,8,12,8,28
AUS,8,11,10,29
NED,8,7,4,19
HUN,8,3,4,15
BRA,7,6,6,19
ESP,7,4,6,17
KEN,6,6,1,13
JAM,6,3,2,11
CRO,5,3,2,10
CUB,5,2,4,11
NZL,4,9,5,18
CAN,4,3,15,22
UZB,4,2,7,13
COL,3,2,3,8
SUI,3,2,2,7
IRI,3,1,4,8
GRE,3,1,2,6
ARG,3,1,0,4
DEN,2,6,7,15
SWE,2,6,3,11
RSA,2,6,2,10
KAZ,2,5,10,17
UKR,2,5,4,11
SRB,2,4,2,8
POL,2,3,6,11
PRK,2,3,2,7
BEL,2,2,2,6
THA,2,2,2,6
SVK,2,2,0,4
GEO,2,1,4,7
AZE,1,7,10,18
BLR,1,4,4,9
TUR,1,3,4,8
ARM,1,3,0,4
CZE,1,2,7,10
ETH,1,2,5,8
SLO,1,2,1,4
INA,1,2,0,3
ROU,1,1,2,4
BRN,1,1,0,2
VIE,1,1,0,2
TPE,1,0,2,3
IOA,1,0,1,2
BAH,1,0,1,2
CIV,1,0,1,2
KOS,1,0,0,1
TJK,1,0,0,1
FIJ,1,0,0,1
JOR,1,0,0,1
PUR,1,0,0,1
SIN,1,0,0,1
MAS,0,4,1,5
MEX,0,3,2,5
VEN,0,2,1,3
ALG,0,2,0,2
IRL,0,2,0,2
LTU,0,1,3,4
BUL,0,1,2,3
MGL,0,1,1,2
IND,0,1,1,2
NIG,0,1,0,1
PHI,0,1,0,1
QAT,0,1,0,1
BDI,0,1,0,1
GRN,0,1,0,1
NOR,0,0,4,4
EGY,0,0,3,3
TUN,0,0,3,3
NGR,0,0,1,1
DOM,0,0,1,1
EST,0,0,1,1
TTO,0,0,1,1
UAE,0,0,1,1
AUT,0,0,1,1
POR,0,0,1,1
FIN,0,0,1,1
MAR,0,0,1,1
CAN,14,7,5,26
GER,10,13,7,30
USA,9,15,13,37
NOR,9,8,6,23
KOR,6,6,2,14
SUI,6,0,3,9
CHN,5,2,4,11
SWE,5,2,4,11
AUT,4,6,6,16
NED,4,1,3,8
RUS,3,5,7,15
FRA,2,3,6,11
AUS,2,1,0,3
CZE,2,0,4,6
POL,1,3,2,6
ITA,1,1,3,5
BLR,1,1,1,3
SVK,1,1,1,3
GBR,1,0,0,1
JPN,0,3,2,5
SLO,0,2,1,3
CRO,0,2,1,3
LAT,0,2,0,2
FIN,0,1,4,5
KAZ,0,1,0,1
EST,0,1,0,1
NOR,14,14,11,39
GER,14,10,7,31
CAN,11,8,10,29
USA,9,8,6,23
NED,8,6,6,20
SWE,7,6,1,14
KOR,5,8,4,17
SUI,5,6,4,15
FRA,5,4,6,15
AUT,5,3,6,14
JPN,4,5,4,13
ITA,3,2,5,10
OAR,2,6,9,17
CZE,2,2,3,7
BLR,2,1,0,3
CHN,1,6,2,9
SVK,1,2,0,3
FIN,1,1,4,6
GBR,1,0,4,5
POL,1,0,1,2
UKR,1,0,0,1
HUN,1,0,0,1
AUS,0,2,1,3
SLO,0,1,1,2
BEL,0,1,0,1
NZL,0,0,2,2
ESP,0,0,2,2
KAZ,0,0,1,1
LIE,0,0,1,1
LAT,0,0,1,1
NOR,16,8,13,37
GER,12,10,5,27
USA,8,10,7,25
CHN,9,4,2,15
SWE,8,5,5,18
NED,8,5,4,17
AUT,7,7,4,18
SUI,7,2,6,15
ROC,6,12,14,32
FRA,5,7,2,14
CAN,4,8,14,26
JPN,3,6,9,18
ITA,2,7,8,17
KOR,2,5,2,9
SLO,2,3,2,7
FIN,2,2,4,8
NZL,2,1,0,3
AUS,1,2,1,4
